00, 2000, 2, 0, 0, 0, 00, 0, 0 
01, 2011, 2, 0, 1, 1, 01, 0, 0 
02, 2002, 2, 0, 0, 2, 00, 0, 0 
03, 20a3, 2, 0, a, 3, 0a, 0, 0 
04, d236, d, 2, 3, 6, 00, 0, 0 
05, 1014, 1, 0, 1, 4, 01, 0, 0 
06, 4100, 4, 1, 0, 0, 01, 0, 0 
07, 4401, 4, 4, 0, 1, 01, 0, 0 
08, 8022, 8, 0, 2, 2, 01, 0, 0 
09, e040, e, 0, 4, 0, 00, 0, 0 
04, d236, d, 2, 3, 6, 00, 0, 0 
05, 1014, 1, 0, 1, 4, 02, 0, 0 
06, 4100, 4, 1, 0, 0, 01, 0, 0 
07, 4401, 4, 4, 0, 1, 02, 0, 0 
08, 8022, 8, 0, 2, 2, 02, 0, 0 
09, e040, e, 0, 4, 0, 00, 0, 0 
04, d236, d, 2, 3, 6, 00, 0, 0 
05, 1014, 1, 0, 1, 4, 03, 0, 0 
06, 4100, 4, 1, 0, 0, 02, 0, 0 
07, 4401, 4, 4, 0, 1, 03, 0, 0 
08, 8022, 8, 0, 2, 2, 03, 0, 0 
09, e040, e, 0, 4, 0, 00, 0, 0 
04, d236, d, 2, 3, 6, 00, 0, 0 
05, 1014, 1, 0, 1, 4, 05, 0, 0 
06, 4100, 4, 1, 0, 0, 03, 0, 0 
07, 4401, 4, 4, 0, 1, 05, 0, 0 
08, 8022, 8, 0, 2, 2, 04, 0, 0 
09, e040, e, 0, 4, 0, 00, 0, 0 
04, d236, d, 2, 3, 6, 00, 0, 0 
05, 1014, 1, 0, 1, 4, 08, 0, 0 
06, 4100, 4, 1, 0, 0, 05, 0, 0 
07, 4401, 4, 4, 0, 1, 08, 0, 0 
08, 8022, 8, 0, 2, 2, 05, 0, 0 
09, e040, e, 0, 4, 0, 00, 0, 0 
04, d236, d, 2, 3, 6, 00, 0, 0 
05, 1014, 1, 0, 1, 4, 0d, 0, 0 
06, 4100, 4, 1, 0, 0, 08, 0, 0 
07, 4401, 4, 4, 0, 1, 0d, 0, 0 
08, 8022, 8, 0, 2, 2, 06, 0, 0 
09, e040, e, 0, 4, 0, 00, 0, 0 
04, d236, d, 2, 3, 6, 00, 0, 0 
05, 1014, 1, 0, 1, 4, 15, 0, 0 
06, 4100, 4, 1, 0, 0, 0d, 0, 0 
07, 4401, 4, 4, 0, 1, 15, 0, 0 
08, 8022, 8, 0, 2, 2, 07, 0, 0 
09, e040, e, 0, 4, 0, 00, 0, 0 
04, d236, d, 2, 3, 6, 00, 0, 0 
05, 1014, 1, 0, 1, 4, 22, 0, 0 
06, 4100, 4, 1, 0, 0, 15, 0, 0 
07, 4401, 4, 4, 0, 1, 22, 0, 0 
08, 8022, 8, 0, 2, 2, 08, 0, 0 
09, e040, e, 0, 4, 0, 00, 0, 0 
04, d236, d, 2, 3, 6, 00, 0, 0 
05, 1014, 1, 0, 1, 4, 37, 0, 0 
06, 4100, 4, 1, 0, 0, 22, 0, 0 
07, 4401, 4, 4, 0, 1, 37, 0, 0 
08, 8022, 8, 0, 2, 2, 09, 0, 0 
09, e040, e, 0, 4, 0, 00, 0, 0 
04, d236, d, 2, 3, 6, 00, 0, 0 
05, 1014, 1, 0, 1, 4, 59, 0, 0 
06, 4100, 4, 1, 0, 0, 37, 0, 0 
07, 4401, 4, 4, 0, 1, 59, 0, 0 
08, 8022, 8, 0, 2, 2, 0a, 0, 0 
09, e040, e, 0, 4, 0, 00, 0, 0 
04, d236, d, 2, 3, 6, 00, 0, 0 
0a, 4405, 4, 4, 0, 5, 59, 0, 0 
0b, 5536, 5, 5, 3, 6, 08, 0, 0 
0c, 6637, 6, 6, 3, 7, 50, 0, 0 
0d, 3538, 3, 5, 3, 8, 4f, 0, 0 
0e, 4329, 4, 3, 2, 9, 0c, 0, 0 
0f, 709a, 7, 0, 9, a, 0b, 0, 0 
10, 70ab, 7, 0, a, b, 0a, 0, 0 
11, bb8c, b, b, 8, c, 45, 0, 0 
12, 9d8e, 9, d, 8, e, b0, 0, 0 
13, c0ef, c, 0, e, f, 4f, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
14, f000, f, 0, 0, 0, 00, 0, 0 
